canonical_entity,score,rising,seeds,source,score_norm
claude code,2523000.0,1,1,google_trends,1.0
code,1801550.0,1,2,google_trends,0.714
what is claude code,428200.0,1,1,google_trends,0.1697
claude code documentation,425850.0,1,1,google_trends,0.1688
claude code cli,382300.0,1,1,google_trends,0.1515
claude code skills,362350.0,1,1,google_trends,0.1436
claude skills,361450.0,1,1,google_trends,0.1432
skills claude,360700.0,1,1,google_trends,0.1429
claude code news,348550.0,1,1,google_trends,0.1381
banana prompt,208750.0,1,1,google_trends,0.0827
claude code usage,203800.0,1,1,google_trends,0.0808
claude code agents,203150.0,1,1,google_trends,0.0805
claude code skill,195000.0,1,1,google_trends,0.0773
claude design,180200.0,1,1,google_trends,0.0714
nano banana,177600.0,1,3,google_trends,0.0704
claude subscription,152300.0,1,1,google_trends,0.0603
ai agent,148550.0,1,1,google_trends,0.0589
codex vs claude code,143000.0,1,1,google_trends,0.0567
claude code memory,133850.0,1,1,google_trends,0.053
claude code limits,132250.0,1,1,google_trends,0.0524
claude code best practices,131500.0,1,1,google_trends,0.0521
claude code prices,128550.0,1,1,google_trends,0.0509
claude code remote,124750.0,1,1,google_trends,0.0494
prompt cowboy,123900.0,1,1,google_trends,0.0491
claude code mobile,119850.0,1,1,google_trends,0.0475
claude code hooks,115400.0,1,1,google_trends,0.0457
ai news today,114300.0,1,2,google_trends,0.0453
prompt engineering,96500.0,1,2,google_trends,0.0382
claude,93400.0,1,6,google_trends,0.037
ai mode,86850.0,1,1,google_trends,0.0344
claude cowork,86500.0,1,2,google_trends,0.0343
deep learning tutorials,86450.0,1,1,google_trends,0.0342
claude code tutorial,85750.0,1,1,google_trends,0.034
nano banana gemini,79350.0,1,2,google_trends,0.0314
workflow,59100.0,1,1,google_trends,0.0234
prompt para nano banana,52350.0,1,1,google_trends,0.0207
humanize ai,49700.0,1,1,google_trends,0.0197
gemini,48400.0,1,4,google_trends,0.0192
nano banana pro,40950.0,1,2,google_trends,0.0162
google ai studio,33900.0,1,3,google_trends,0.0134
prompt optimizer,33000.0,1,1,google_trends,0.0131
nano banana ia,32000.0,1,1,google_trends,0.0127
nano banana google,22350.0,1,3,google_trends,0.0088
best deep conditioners,21300.0,1,1,google_trends,0.0084
qué distingue al modelo deep research de otros,20800.0,1,1,google_trends,0.0082
cowboy prompt ai,20600.0,1,1,google_trends,0.0081
how to deep clean kitchen,19950.0,1,1,google_trends,0.0079
wordpress 6 9,18000.0,1,1,google_trends,0.0071
memoria rosalia letra,17150.0,1,1,google_trends,0.0068
prompt para fotos profesionales,15900.0,1,1,google_trends,0.0063
best deep dish pizza in chicago,15250.0,1,1,google_trends,0.006
wordpress 7 0,14050.0,1,1,google_trends,0.0055
tu rostro siempre en mi memoria,12650.0,1,1,google_trends,0.005
mr prompt,9850.0,1,1,google_trends,0.0039
min choi prompt,8650.0,1,1,google_trends,0.0034
gemini banana,8500.0,1,1,google_trends,0.0033
prompt cannon,7650.0,1,1,google_trends,0.003
