canonical_entity,score,rising,seeds,source
generative pre-trained transformer,6528300.0,1,1,google_trends
2026,5386100.0,1,2,google_trends
gpt-5,5359150.0,1,1,google_trends
openai,2976950.0,1,4,google_trends
claude code,2523000.0,1,1,google_trends
artificial intelligence,2327100.0,1,9,google_trends
code,1801550.0,1,2,google_trends
review,1532350.0,1,5,google_trends
news,1318450.0,1,2,google_trends
2024,1298800.0,1,4,google_trends
knowledge,1173950.0,1,1,google_trends
mobile app,1109500.0,1,2,google_trends
data,1104950.0,1,5,google_trends
company,1092700.0,1,4,google_trends
united kingdom,1090450.0,1,4,google_trends
computer file,1048550.0,1,3,google_trends
cost,1020050.0,1,5,google_trends
application programming interface,942650.0,1,4,google_trends
germany,925800.0,1,4,google_trends
pricing,813900.0,1,2,google_trends
march,801250.0,1,3,google_trends
tax,740500.0,1,3,google_trends
github,738000.0,1,3,google_trends
2023,725750.0,1,2,google_trends
image,712450.0,1,4,google_trends
law,709950.0,1,1,google_trends
market,684400.0,1,3,google_trends
document,682700.0,1,1,google_trends
france,656150.0,1,1,google_trends
good,653000.0,1,1,google_trends
product,640650.0,1,2,google_trends
india,625000.0,1,2,google_trends
child,526500.0,1,1,google_trends
2022,516800.0,1,1,google_trends
december,516800.0,1,1,google_trends
school,506100.0,1,1,google_trends
history,477600.0,1,2,google_trends
january,450800.0,1,1,google_trends
türkiye,448200.0,1,2,google_trends
location,445650.0,1,1,google_trends
japan,445450.0,1,1,google_trends
city,436200.0,1,1,google_trends
website,430750.0,1,2,google_trends
2021,428650.0,1,2,google_trends
what is claude code,428200.0,1,1,google_trends
claude code documentation,425850.0,1,1,google_trends
documentation,409150.0,1,3,google_trends
apple,402850.0,1,1,google_trends
april,385600.0,1,3,google_trends
article,382300.0,1,1,google_trends
claude code cli,382300.0,1,1,google_trends
february,364600.0,1,2,google_trends
claude code skills,362350.0,1,1,google_trends
claude skills,361450.0,1,1,google_trends
skills claude,360700.0,1,1,google_trends
claude code news,348550.0,1,1,google_trends
plug-in,257050.0,1,2,google_trends
banana prompt,208750.0,1,1,google_trends
business,208750.0,1,1,google_trends
security,207600.0,1,2,google_trends
claude code usage,203800.0,1,1,google_trends
claude code agents,203150.0,1,1,google_trends
management,201800.0,1,1,google_trends
claude code skill,195000.0,1,1,google_trends
claude design,180200.0,1,1,google_trends
nano banana,177600.0,1,3,google_trends
claude subscription,152300.0,1,1,google_trends
ai agent,148550.0,1,1,google_trends
codex vs claude code,143000.0,1,1,google_trends
claude code memory,133850.0,1,1,google_trends
claude code limits,132250.0,1,1,google_trends
claude code best practices,131500.0,1,1,google_trends
claude code prices,128550.0,1,1,google_trends
que es deep research en gemini,126300.0,1,1,google_trends
opencode,125300.0,1,1,google_trends
antigravity,125200.0,1,1,google_trends
claude code remote,124750.0,1,1,google_trends
prompt cowboy,123900.0,1,1,google_trends
claude code mobile,119850.0,1,1,google_trends
claude code hooks,115400.0,1,1,google_trends
